ID,Nombre,Departamento,Municipio
10001,CENTRO ESCOLAR ISIDRO MENENDEZ,AHUACHAPAN,AHUACHAPÁN
10002,CENTRO ESCOLAR ALFREDO ESPINO,AHUACHAPAN,AHUACHAPÁN
10003,CENTRO ESCOLAR ALEJANDRO DE HUMBOLDT,AHUACHAPAN,AHUACHAPÁN
10004,CENTRO ESCOLAR 1º DE JULIO DE 1823,AHUACHAPAN,AHUACHAPÁN
10005,INSTITUTO NACIONAL SANTA RITA,CHALATENANGO,SANTA RITA
10006,CENTRO ESCOLAR RICARDO TRIGUEROS DE LEON,AHUACHAPAN,AHUACHAPÁN
10007,CENTRO ESCOLAR CARLOTA LEON VIUDA DE TRIGUEROS,AHUACHAPAN,AHUACHAPÁN
10008,ESCUELA DE EDUCACION PARVULARIA MARIA SALAZAR VIUDA DE MAGAÑA,AHUACHAPAN,AHUACHAPÁN
10010,CENTRO ESCOLAR CASERIO PUERTAS NEGRAS,AHUACHAPAN,AHUACHAPÁN
10011,CENTRO ESCOLAR CANTON LOS HUATALES,AHUACHAPAN,AHUACHAPÁN
10012,CENTRO ESCOLAR BERNARDINO E. ZAMORA,AHUACHAPAN,AHUACHAPÁN
10013,COMPLEJO EDUCATIVO GENERAL FABIO MORAN,AHUACHAPAN,AHUACHAPÁN
10014,CENTRO ESCOLAR ISABEL CARRILLO DE BOLAÑOS,AHUACHAPAN,AHUACHAPÁN
10015,CENTRO ESCOLAR PROFESOR RICARDO ARGUETA LINARES,AHUACHAPAN,AHUACHAPÁN
10016,CENTRO ESCOLAR CANTON EL ROBLE,AHUACHAPAN,AHUACHAPÁN
10017,CENTRO ESCOLAR CANTON EL JUNQUILLO,AHUACHAPAN,AHUACHAPÁN
10018,CENTRO ESCOLAR COLONIA LA PISTA,USULUTÁN,SANTA MARÍA
10019,CENTRO ESCOLAR CANTON ASHAPUCO,AHUACHAPAN,AHUACHAPÁN
10020,CENTRO ESCOLAR CANTON LA COYOTERA,AHUACHAPAN,AHUACHAPÁN
10021,CENTRO ESCOLAR CANTON SUNTECUMAT,AHUACHAPAN,AHUACHAPÁN
10022,CENTRO ESCOLAR CANTON LOS MAGUEYES,AHUACHAPAN,AHUACHAPÁN
10023,CENTRO ESCOLAR DOCTOR RENE VIRGILIO CORNEJO GRANADOS,AHUACHAPAN,AHUACHAPÁN
10024,CENTRO ESCOLAR CANTON PALO PIQUE,AHUACHAPAN,AHUACHAPÁN
10025,CENTRO ESCOLAR CANTON RIO FRIO,AHUACHAPAN,AHUACHAPÁN
10026,CENTRO ESCOLAR ABELINA ARRIAZA,AHUACHAPAN,AHUACHAPÁN
10027,COMPLEJO EDUCATIVO DOCTOR RAFAEL MEZA DELGADO,AHUACHAPAN,AHUACHAPÁN
10029,"CENTRO ESCOLAR CASERIO EL BOTADERO, CANTON EL ROBLE",AHUACHAPAN,AHUACHAPÁN
10031,COMPLEJO EDUCATIVO DOCTOR ARTURO ROMERO,AHUACHAPAN,AHUACHAPÁN
10032,CENTRO ESCOLAR CANTON SANTA ROSA DE ACACALCO,AHUACHAPAN,AHUACHAPÁN
10033,COMPLEJO EDUCATIVO HACIENDA LA LABOR,AHUACHAPAN,AHUACHAPÁN
10035,CENTRO ESCOLAR HERMANO FRANCISCO RIVAT,LA LIBERTAD,COLÓN
10037,CENTRO ESCOLAR CASERIO LAS CHINITAS,AHUACHAPAN,AHUACHAPÁN
10038,CENTRO ESCOLAR COLONIA SANTA MARIA,AHUACHAPAN,AHUACHAPÁN
10039,CENTRO ESCOLAR CANTON LA DANTA,AHUACHAPAN,AHUACHAPÁN
10041,CENTRO ESCOLAR COLONIA SAN GENARO,SONSONATE,SONSONATE
10042,CENTRO ESCOLAR CANTON SAN LAZARO,AHUACHAPAN,AHUACHAPÁN
10044,CENTRO ESCOLAR CASERIO RANCHO GRANDE CANTON EL JUNQUILLO,AHUACHAPAN,AHUACHAPÁN
10045,CENTRO ESCOLAR HACIENDA ZACAMIL,AHUACHAPAN,AHUACHAPÁN
10048,CENTRO ESCOLAR COLONIA LAS VICTORIAS,AHUACHAPAN,AHUACHAPÁN
10049,INSTITUTO NACIONAL SAN MIGUEL DE MERCEDES,CHALATENANGO,SAN MIGUEL DE MERCEDES
10050,CENTRO ESCOLAR NUEVO LOURDES,LA LIBERTAD,COLÓN
10051,CENTRO ESCOLAR RESIDENCIAL LA PRADERA II,SAN MIGUEL,SAN MIGUEL
10052,INSTITUTO NACIONAL ALEJANDRO DE HUMBOLDT,AHUACHAPAN,AHUACHAPÁN
10053,INSTITUTO NACIONAL LUIS REYNALDO TOBAR,AHUACHAPAN,AHUACHAPÁN
10056,ESCUELA DE EDUCACION PARVULARIA DE APANECA,AHUACHAPAN,APANECA
10057,CENTRO ESCOLAR CIUDAD CREDISA,SAN SALVADOR,SOYAPANGO
10058,INSTITUTO NACIONAL DE SACACOYO,LA LIBERTAD,SACACOYO
10059,INSTITUTO NACIONAL CANTON CARA SUCIA,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ
10060,INSTITUTO NACIONAL LICENCIADO JOSE DANIEL CARIAS,AHUACHAPAN,APANECA
10061,CENTRO ESCOLAR GENERAL FRANCISCO MENENDEZ,AHUACHAPAN,APANECA
10062,COMPLEJO EDUCATIVO CANTON IZCAQUILIO,AHUACHAPAN,ATIQUIZAYA
10063,CENTRO ESCOLAR CANTON EL SALITRERO,AHUACHAPAN,ATIQUIZAYA
10064,CENTRO ESCOLAR CANTON LOMAS DE ALARCON,AHUACHAPAN,ATIQUIZAYA
10065,INSTITUTO NACIONAL COLONIA VALLE DEL SOL,SAN SALVADOR,APOPA
10066,CENTRO ESCOLAR CANTON RINCON GRANDE,AHUACHAPAN,ATIQUIZAYA
10067,CENTRO ESCOLAR CANTON SAN JUAN EL ESPINO,AHUACHAPAN,ATIQUIZAYA
10068,CENTRO ESCOLAR VISTA AL LAGO,SAN SALVADOR,ILOPANGO
10069,CENTRO ESCOLAR FRAY MARTIN DE PORRES,AHUACHAPAN,ATIQUIZAYA
10070,CENTRO ESCOLAR CASERIO EL JICARO,AHUACHAPAN,ATIQUIZAYA
10071,CENTRO ESCOLAR CANTON EL TORTUGUERO,AHUACHAPAN,ATIQUIZAYA
10073,INSTITUTO NACIONAL CORNELIO AZENON SIERRA,AHUACHAPAN,ATIQUIZAYA
10074,"CENTRO ESCOLAR COLONIA LAS VIÑAS, CANTON EL JUNQUILLO",AHUACHAPAN,AHUACHAPÁN
