Código del País,Nombre del  País,Años de Registro,Sexo de la Agrupación,Número de muertes
AFG,Afghanistan,1970,Hombres,"19,241"
AFG,Afghanistan,1970,Mujeres,"12,600"
AFG,Afghanistan,1970,Ambas,"31,840"
AFG,Afghanistan,1970,Hombres,"15,939"
AFG,Afghanistan,1970,Mujeres,"11,287"
AFG,Afghanistan,1970,Ambas,"27,226"
AFG,Afghanistan,1970,Hombres,"37,513"
AFG,Afghanistan,1970,Mujeres,"32,113"
AFG,Afghanistan,1970,Ambas,"69,626"
AFG,Afghanistan,1970,Hombres,"36,694"
AFG,Afghanistan,1970,Mujeres,"32,848"
AFG,Afghanistan,1970,Ambas,"69,542"
AFG,Afghanistan,1970,Hombres,"3,467"
AFG,Afghanistan,1970,Mujeres,"2,492"
AFG,Afghanistan,1970,Ambas,"5,959"
AFG,Afghanistan,1970,Hombres,"1,723"
AFG,Afghanistan,1970,Mujeres,"1,806"
AFG,Afghanistan,1970,Ambas,"3,529"
AFG,Afghanistan,1970,Hombres,"1,816"
AFG,Afghanistan,1970,Mujeres,"1,902"
AFG,Afghanistan,1970,Ambas,"3,718"
AFG,Afghanistan,1970,Hombres,"2,240"
AFG,Afghanistan,1970,Mujeres,"2,630"
AFG,Afghanistan,1970,Ambas,"4,870"
AFG,Afghanistan,1970,Hombres,"2,050"
AFG,Afghanistan,1970,Mujeres,"2,889"
AFG,Afghanistan,1970,Ambas,"4,939"
AFG,Afghanistan,1970,Hombres,"2,038"
AFG,Afghanistan,1970,Mujeres,"2,799"
AFG,Afghanistan,1970,Ambas,"4,838"
AFG,Afghanistan,1970,Hombres,"2,242"
AFG,Afghanistan,1970,Mujeres,"3,358"
AFG,Afghanistan,1970,Ambas,"5,600"
AFG,Afghanistan,1970,Hombres,"2,528"
AFG,Afghanistan,1970,Mujeres,"2,908"
AFG,Afghanistan,1970,Ambas,"5,437"
AFG,Afghanistan,1970,Hombres,"2,993"
AFG,Afghanistan,1970,Mujeres,"2,909"
AFG,Afghanistan,1970,Ambas,"5,902"
AFG,Afghanistan,1970,Hombres,"3,569"
AFG,Afghanistan,1970,Mujeres,"3,300"
AFG,Afghanistan,1970,Ambas,"6,870"
AFG,Afghanistan,1970,Hombres,"3,911"
AFG,Afghanistan,1970,Mujeres,"3,532"
AFG,Afghanistan,1970,Ambas,"7,443"
AFG,Afghanistan,1970,Hombres,"4,239"
AFG,Afghanistan,1970,Mujeres,"4,514"
AFG,Afghanistan,1970,Ambas,"8,752"
AFG,Afghanistan,1970,Hombres,"3,968"
AFG,Afghanistan,1970,Mujeres,"4,580"
AFG,Afghanistan,1970,Ambas,"8,547"
AFG,Afghanistan,1970,Hombres,"3,435"
AFG,Afghanistan,1970,Mujeres,"4,404"
AFG,Afghanistan,1970,Ambas,"7,839"
AFG,Afghanistan,1970,Hombres,"2,374"
AFG,Afghanistan,1970,Mujeres,"3,129"
AFG,Afghanistan,1970,Ambas,"5,503"
AFG,Afghanistan,1970,Hombres,"1,676"
AFG,Afghanistan,1970,Mujeres,"2,180"
